CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Balance_to_Salary,Product_Density,Engagement_Product,Age_Tenure,High_Balance_Flag,Zero_Balance_Flag,Senior_Customer_Flag,Low_CreditScore_Flag
790,Spain,Male,37,6,0.0,2,1,1,119484.01,0.0,0.2857142857142857,2,222,0,1,0,0
729,Spain,Female,42,7,0.0,2,1,0,58268.2,0.0,0.25,0,294,0,1,0,0
620,France,Female,29,3,0.0,2,0,1,153392.28,0.0,0.5,2,87,0,1,0,1
611,Spain,Male,46,6,0.0,2,1,0,45886.33,0.0,0.2857142857142857,0,276,0,1,0,1
739,France,Male,42,2,141642.92,2,1,0,172149.76,0.8227889484132885,0.6666666666666666,0,84,1,0,0,0
743,France,Female,39,8,0.0,1,1,0,94263.44,0.0,0.1111111111111111,0,312,0,1,0,0
744,France,Male,54,6,93806.31,2,0,1,140068.77,0.6697160973141979,0.2857142857142857,2,324,0,0,0,0
655,Germany,Male,67,6,148363.38,1,1,1,186995.17,0.7934075516495961,0.14285714285714285,1,402,1,0,1,0
742,Germany,Female,41,4,92805.72,1,0,1,73743.95,1.258485882570706,0.2,1,164,0,0,0,0
496,France,Male,30,0,90963.49,1,0,1,27802.0,3.2718326019710813,1.0,1,0,0,0,0,1
712,Germany,Male,27,8,113174.21,2,1,0,147261.58,0.7685250287277918,0.2222222222222222,0,216,1,0,0,0
794,Spain,Male,33,8,0.0,2,0,0,91340.02,0.0,0.2222222222222222,0,264,0,1,0,0
704,France,Male,42,8,129735.3,2,1,1,179565.57,0.7224954093371018,0.2222222222222222,2,336,1,0,0,0
648,Germany,Male,41,5,123049.21,1,0,1,5066.76,24.285580923509304,0.16666666666666666,1,205,1,0,0,1
687,Germany,Male,33,9,135962.4,2,1,0,121747.96,1.1167530035000175,0.2,0,297,1,0,0,0
601,Spain,Female,44,4,0.0,2,1,0,58561.31,0.0,0.4,0,176,0,1,0,1
572,Germany,Male,26,4,118287.01,2,0,0,60427.3,1.9575094369597845,0.4,0,104,1,0,0,1
623,France,Male,28,7,0.0,1,0,0,129526.57,0.0,0.125,0,196,0,1,0,1
680,France,Female,24,10,0.0,3,1,0,154971.63,0.0,0.2727272727272727,0,240,0,1,0,0
685,Spain,Male,40,7,74896.92,1,1,0,198694.2,0.3769456783338416,0.125,0,280,0,0,0,0
634,Spain,Male,35,3,0.0,2,1,1,19515.48,0.0,0.5,2,105,0,1,0,1
850,Germany,Female,47,10,134381.52,1,0,0,26812.89,5.011825282541345,0.09090909090909091,0,470,1,0,0,0
747,France,Male,41,5,0.0,2,1,1,22750.17,0.0,0.3333333333333333,2,205,0,1,0,0
649,France,Female,42,7,0.0,2,0,1,22974.01,0.0,0.25,2,294,0,1,0,1
560,France,Male,24,1,116084.32,1,1,0,89734.7,1.2936391384826607,0.5,0,24,1,0,0,1
738,Germany,Male,37,7,140950.92,2,1,0,195333.98,0.7215893517349107,0.25,0,259,1,0,0,0
628,Spain,Female,33,3,0.0,1,1,1,188193.25,0.0,0.25,1,99,0,1,0,1
707,France,Female,57,1,92053.0,1,1,1,164064.44,0.5610783177634349,0.5,1,57,0,0,0,0
544,France,Male,40,8,0.0,2,1,0,61581.2,0.0,0.2222222222222222,0,320,0,1,0,1
643,Germany,Male,41,2,127841.52,1,1,0,172363.41,0.7416975563433098,0.3333333333333333,0,82,1,0,0,1
499,France,Female,46,6,0.0,2,1,0,73457.55,0.0,0.2857142857142857,0,276,0,1,0,1
637,France,Male,41,2,0.0,2,0,1,102515.42,0.0,0.6666666666666666,2,82,0,1,0,1
761,France,Male,36,9,127637.92,1,1,1,81062.93,1.574553498127936,0.1,1,324,1,0,0,0
672,France,Female,53,9,169406.33,4,1,1,147311.47,1.1499873702977779,0.4,4,477,1,0,0,0
685,Spain,Male,38,4,0.0,2,1,1,35884.91,0.0,0.4,2,152,0,1,0,0
630,France,Male,67,5,0.0,2,1,1,27330.27,0.0,0.3333333333333333,2,335,0,1,1,1
687,France,Male,28,7,108116.66,1,1,1,27411.19,3.9442526938815865,0.125,1,196,1,0,0,0
713,Germany,Female,24,7,147687.24,1,1,1,121592.5,1.2146081378374487,0.125,1,168,1,0,0,0
765,France,Male,42,4,123311.39,2,1,1,82868.34,1.4880398231701033,0.4,2,168,1,0,0,0
625,Germany,Female,37,4,142711.81,1,1,0,35625.41,4.00589944087661,0.2,0,148,1,0,0,1
619,France,Female,30,7,70729.17,1,1,1,160948.87,0.439451174773703,0.125,1,210,0,0,0,1
587,Germany,Female,45,8,134980.74,1,1,1,123309.57,1.0946493447345569,0.1111111111111111,1,360,1,0,0,1
576,France,Male,39,9,84719.98,1,0,0,191063.36,0.44341301231172736,0.1,0,351,0,0,0,1
573,Spain,Male,41,5,0.0,2,0,1,14479.29,0.0,0.3333333333333333,2,205,0,1,0,1
814,France,Female,31,6,87772.52,1,1,0,188516.45,0.46559607928114494,0.14285714285714285,0,186,0,0,0,0
712,France,Male,33,3,153819.58,1,1,0,79176.09,1.9427529194735431,0.25,0,99,1,0,0,0
609,Spain,Male,37,5,129312.79,1,1,1,26793.82,4.826217015714818,0.16666666666666666,1,185,1,0,0,1
638,Spain,Male,44,9,77637.35,2,1,1,111346.22,0.6972607601766814,0.2,2,396,0,0,0,1
695,Spain,Male,46,3,122549.64,1,1,1,56297.85,2.176808528212001,0.25,1,138,1,0,0,0
671,France,Female,31,6,0.0,2,1,1,15846.42,0.0,0.2857142857142857,2,186,0,1,0,0
571,Germany,Male,25,6,82506.72,2,1,0,167705.07,0.49197510844484305,0.2857142857142857,0,150,0,0,0,1
809,Spain,Female,33,3,0.0,2,0,1,141426.78,0.0,0.5,2,99,0,1,0,0
670,France,Male,37,4,170557.91,2,1,0,198252.88,0.8603048288630157,0.4,0,148,1,0,0,0
554,France,Female,45,6,0.0,2,1,1,181204.5,0.0,0.2857142857142857,2,270,0,1,0,1
683,Spain,Male,40,4,95053.1,1,1,1,116816.54,0.8136955605772951,0.2,1,160,0,0,0,0
740,Germany,Male,33,2,126524.11,1,1,0,136869.31,0.9244154880301508,0.3333333333333333,0,66,1,0,0,0
630,France,Male,53,5,138053.67,1,0,1,114110.97,1.2098194415488714,0.16666666666666666,1,265,1,0,0,1
519,France,Male,39,1,97700.02,1,1,1,30709.03,3.181475285933812,0.5,1,39,1,0,0,1
634,France,Male,77,5,0.0,2,1,1,161579.85,0.0,0.3333333333333333,2,385,0,1,1,1
593,Germany,Female,29,5,101713.84,3,1,0,134594.99,0.7557030168804946,0.5,0,145,1,0,0,1
676,Spain,Male,36,1,82729.49,1,1,0,113810.12,0.7269080289169365,0.5,0,36,0,0,0,0
800,France,Female,29,2,0.0,2,0,0,167773.55,0.0,0.6666666666666666,0,58,0,1,0,0
707,Spain,Female,35,3,56674.48,1,1,0,17987.4,3.1507877736637866,0.25,0,105,0,0,0,0
710,Germany,Male,43,2,140080.32,3,1,1,157908.19,0.8870997761420735,1.0,3,86,1,0,0,0
623,Spain,Female,43,4,123536.52,2,0,0,154908.52,0.7974804742824992,0.4,0,172,1,0,0,1
648,Spain,Male,35,7,0.0,2,0,0,122899.01,0.0,0.25,0,245,0,1,0,1
590,France,Male,31,8,112211.61,1,1,0,26261.42,4.272869098472208,0.1111111111111111,0,248,1,0,0,1
668,Germany,Female,39,0,122104.79,1,1,0,112946.67,1.0810835768774767,1.0,0,0,1,0,0,0
567,Germany,Female,49,5,134956.02,1,1,0,93953.84,1.4364077082959035,0.16666666666666666,0,245,1,0,0,1
647,France,Female,29,0,98263.46,2,1,0,164717.95,0.596555870201153,2.0,0,0,1,0,0,1
577,Spain,Male,41,4,89015.61,1,0,1,135227.23,0.6582669037885343,0.2,1,164,0,0,0,1
529,France,Female,31,2,164003.05,2,1,1,60993.23,2.6888730109882686,0.6666666666666666,2,62,1,0,0,1
576,Germany,Male,30,7,132174.41,2,0,0,93767.03,1.4096043140110122,0.25,0,210,1,0,0,1
686,France,Female,34,1,0.0,2,1,0,87278.48,0.0,1.0,0,34,0,1,0,0
656,France,Male,40,2,0.0,2,1,1,180553.48,0.0,0.6666666666666666,2,80,0,1,0,0
493,France,Male,38,3,134006.77,1,1,0,89578.32,1.495973244418962,0.25,0,114,1,0,0,1
538,Spain,Female,49,9,141434.04,1,0,0,173779.25,0.8138718517889795,0.1,0,441,1,0,0,1
582,France,Female,29,0,0.0,1,1,1,84012.81,0.0,1.0,1,0,0,1,0,1
637,France,Male,36,2,152606.82,1,1,1,71692.8,2.128621284145688,0.3333333333333333,1,72,1,0,0,1
573,Spain,Male,33,1,160777.9,1,1,1,149536.15,1.0751774738081727,0.5,1,33,1,0,0,1
481,Spain,Female,37,8,0.0,2,1,0,44215.86,0.0,0.2222222222222222,0,296,0,1,0,1
534,France,Male,27,9,0.0,2,1,0,161344.13,0.0,0.2,0,243,0,1,0,1
641,France,Female,42,7,125437.14,2,0,0,164128.58,0.7642614101700022,0.25,0,294,1,0,0,1
672,Germany,Female,21,1,35741.69,1,1,0,28789.94,1.2414645532432511,0.5,0,21,0,0,0,0
687,Germany,Male,38,4,117633.28,1,0,1,88396.6,1.3307443951464195,0.2,1,152,1,0,0,0
445,Germany,Female,34,7,131082.17,2,1,1,70618.0,1.8562147044662836,0.25,2,238,1,0,0,1
713,France,Male,36,8,133889.35,1,1,1,143265.65,0.9345530488292205,0.1111111111111111,1,288,1,0,0,0
596,Spain,Female,29,6,0.0,2,1,0,116696.77,0.0,0.2857142857142857,0,174,0,1,0,1
616,France,Male,37,5,144235.73,2,0,0,154957.66,0.9308073573129589,0.3333333333333333,0,185,1,0,0,1
554,Germany,Female,43,2,120847.11,1,1,0,7611.61,15.87668180582032,0.3333333333333333,0,86,1,0,0,1
505,Germany,Female,37,6,159863.9,2,0,1,125307.87,1.2757690319051789,0.2857142857142857,2,222,1,0,0,1
555,France,Male,55,4,146798.81,1,1,1,74149.77,1.9797608273093765,0.2,1,220,1,0,0,1
730,Spain,Male,42,4,0.0,2,0,1,85982.47,0.0,0.4,2,168,0,1,0,0
645,France,Female,37,1,0.0,2,1,1,68987.55,0.0,1.0,2,37,0,1,0,1
747,France,Female,21,4,81025.6,2,1,0,167682.57,0.4832082428125953,0.4,0,84,0,0,0,0
667,France,Female,38,6,144432.04,1,1,1,73963.17,1.9527562163709318,0.14285714285714285,1,228,1,0,0,0
704,Spain,Female,37,9,155619.58,1,1,1,135088.58,1.151981758931806,0.1,1,333,1,0,0,0
850,France,Male,34,2,72079.71,1,1,1,115767.93,0.6226224309271143,0.3333333333333333,1,68,0,0,0,0
668,France,Female,32,2,0.0,2,1,1,40652.33,0.0,0.6666666666666666,2,64,0,1,0,0
616,Spain,Female,36,6,0.0,1,1,1,12916.32,0.0,0.14285714285714285,1,216,0,1,0,1
526,Spain,Female,33,8,114634.63,2,1,0,110114.38,1.0410504967652727,0.2222222222222222,0,264,1,0,0,1
693,France,Male,43,6,128760.32,1,1,0,36342.79,3.542939878859053,0.14285714285714285,0,258,1,0,0,0
497,Germany,Female,32,8,111537.23,4,1,1,9497.99,11.743245676190435,0.4444444444444444,4,256,1,0,0,1
557,France,Male,34,3,83074.0,1,1,0,132673.22,0.6261549994791714,0.25,0,102,0,0,0,1
681,France,Female,29,2,148143.84,1,1,1,52021.39,2.847748589570559,0.3333333333333333,1,58,1,0,0,0
728,France,Male,38,1,115934.74,1,1,1,139059.05,0.8337087014473349,0.5,1,38,1,0,0,0
651,Germany,Female,41,4,133432.59,1,0,1,151303.48,0.881887118524967,0.2,1,164,1,0,0,1
494,Spain,Male,38,7,0.0,2,1,1,6203.66,0.0,0.25,2,266,0,1,0,1
497,Germany,Male,24,6,111769.14,2,1,0,55859.27,2.0009058478565867,0.2857142857142857,0,144,1,0,0,1
640,France,Male,38,9,0.0,2,1,0,88827.67,0.0,0.2,0,342,0,1,0,1
621,Germany,Female,30,2,101014.08,2,1,1,165257.31,0.6112533236805077,0.6666666666666666,2,60,1,0,0,1
496,France,Male,32,4,127845.83,1,1,0,66469.2,1.9233845149332323,0.2,0,128,1,0,0,1
543,France,Male,36,4,0.0,2,1,1,141210.5,0.0,0.4,2,144,0,1,0,1
850,France,Female,34,6,101266.51,1,1,0,33501.98,3.0227022402854993,0.14285714285714285,0,204,1,0,0,0
850,France,Male,39,4,127771.35,2,0,1,151738.54,0.8420494226450314,0.4,2,156,1,0,0,0
740,Spain,Female,31,8,0.0,2,0,0,86657.48,0.0,0.2222222222222222,0,248,0,1,0,0
714,Spain,Female,33,10,103121.33,2,1,1,49672.01,2.076045040255065,0.18181818181818182,2,330,1,0,0,0
850,Germany,Female,36,6,143644.16,1,1,0,22102.25,6.499074076168716,0.14285714285714285,0,216,1,0,0,0
598,Germany,Female,27,10,171283.91,1,1,1,84136.12,2.035795209001794,0.09090909090909091,1,270,1,0,0,1
681,Germany,Male,31,4,97338.19,2,0,0,48226.76,2.018343965051768,0.4,0,124,1,0,0,0
664,France,Male,40,9,0.0,2,1,0,194767.3,0.0,0.2,0,360,0,1,0,0
790,France,Female,31,9,0.0,2,1,0,84126.75,0.0,0.2,0,279,0,1,0,0
777,Germany,Female,46,0,107362.8,1,1,0,487.3,220.32177303509133,1.0,0,0,1,0,0,0
558,Germany,Male,58,2,142537.18,1,1,1,88791.83,1.6052961178973335,0.3333333333333333,1,116,1,0,0,1
724,Germany,Female,48,6,110463.25,2,1,1,80552.11,1.371326585982664,0.2857142857142857,2,288,1,0,0,0
820,France,Female,29,3,82344.84,1,0,1,115985.38,0.709958789633659,0.25,1,87,0,0,0,0
689,France,Female,46,7,52016.08,2,1,1,72993.65,0.7126110284935745,0.25,2,322,0,0,0,0
646,Germany,Male,46,1,170826.55,2,1,0,45041.32,3.7926630480634222,1.0,0,46,1,0,0,1
519,France,Female,21,1,146329.57,2,1,1,194867.27,0.7509191769351519,1.0,2,21,1,0,0,1
453,Germany,Female,38,8,120623.21,1,1,0,129697.99,0.9300314522992993,0.1111111111111111,0,304,1,0,0,1
801,Spain,Female,46,6,0.0,2,1,1,170008.74,0.0,0.2857142857142857,2,276,0,1,0,0
656,Germany,Male,68,7,153545.11,1,1,1,186574.68,0.8229686364730734,0.125,1,476,1,0,1,0
678,France,Female,22,4,174852.89,1,1,1,28149.06,6.211677761175684,0.2,1,88,1,0,0,0
573,Germany,Female,47,4,152522.47,1,0,1,164038.07,0.9297992228267499,0.2,1,188,1,0,0,1
422,Spain,Female,54,4,0.0,2,1,1,7166.71,0.0,0.4,2,216,0,1,0,1
601,France,Male,29,9,0.0,1,1,1,80393.27,0.0,0.1,1,261,0,1,0,1
717,France,Female,76,9,138489.66,1,1,1,68400.14,2.0246984874592364,0.1,1,684,1,0,1,0
554,France,Female,35,8,0.0,2,1,1,176779.46,0.0,0.2222222222222222,2,280,0,1,0,1
679,France,Male,36,6,147733.64,1,0,1,172501.38,0.8564200471903471,0.14285714285714285,1,216,1,0,0,0
710,Spain,Male,35,1,106518.52,1,1,1,127951.81,0.8324893567351647,0.5,1,35,1,0,0,0
778,France,Male,34,5,139064.06,2,0,0,67949.32,2.046585013654294,0.3333333333333333,0,170,1,0,0,0
567,Germany,Male,29,5,129750.68,1,1,0,109257.59,1.18756674021457,0.16666666666666666,0,145,1,0,0,1
727,France,Male,61,0,128213.96,2,1,1,188729.08,0.6793545541577377,2.0,2,0,1,0,1,0
634,France,Female,41,7,0.0,2,1,1,131284.93,0.0,0.25,2,287,0,1,0,1
823,Spain,Female,46,3,81576.75,1,1,1,28370.95,2.875361945934133,0.25,1,138,0,0,0,0
516,Spain,Female,65,9,102541.1,1,1,0,181490.42,0.5649945600434447,0.1,0,585,1,0,1,1
514,Germany,Male,43,1,95556.31,1,0,1,199273.98,0.4795222637697104,0.5,1,43,0,0,0,1
657,France,Male,33,1,84309.57,2,0,0,103914.4,0.8113367348509929,1.0,0,33,0,0,0,0
686,Spain,Male,22,8,0.0,2,0,0,142331.85,0.0,0.2222222222222222,0,176,0,1,0,0
661,Spain,Female,41,5,28082.95,1,1,0,69586.27,0.4035702732737363,0.16666666666666666,0,205,0,0,0,0
736,France,Male,54,7,111729.47,2,0,1,84920.49,1.3156950695880345,0.25,2,378,1,0,0,0
749,France,Female,26,6,0.0,2,0,1,34948.77,0.0,0.2857142857142857,2,156,0,1,0,0
570,France,Female,30,10,176173.52,1,1,0,97045.32,1.8153736831410312,0.09090909090909091,0,300,1,0,0,1
592,Germany,Female,26,4,105082.07,2,1,0,132801.57,0.7912712929523348,0.4,0,104,1,0,0,1
825,Spain,Female,32,1,0.0,2,1,1,42935.15,0.0,1.0,2,32,0,1,0,0
717,Spain,Male,36,2,102989.83,2,0,1,49185.57,2.0939033541748118,0.6666666666666666,2,72,1,0,0,0
612,Spain,Male,35,1,0.0,1,1,1,83256.26,0.0,0.5,1,35,0,1,0,1
649,France,Male,45,7,0.0,2,0,1,75204.21,0.0,0.25,2,315,0,1,0,1
635,Spain,Male,35,2,113635.16,1,1,0,90883.12,1.2503439582619964,0.3333333333333333,0,70,1,0,0,1
815,Spain,Female,57,5,0.0,3,0,0,38941.44,0.0,0.5,0,285,0,1,0,0
679,Germany,Female,37,8,77373.87,2,0,1,174873.09,0.44245727001221286,0.2222222222222222,2,296,0,0,0,0
660,France,Female,35,6,100768.77,1,1,0,19199.61,5.248480047250959,0.14285714285714285,0,210,1,0,0,0
816,Spain,Male,67,6,151858.98,1,1,1,72814.31,2.0855650489580966,0.14285714285714285,1,402,1,0,1,0
615,Spain,Male,51,6,81818.49,1,1,1,169149.38,0.48370552703178693,0.14285714285714285,1,306,0,0,0,1
773,France,Male,25,1,124532.78,2,0,1,11723.57,10.62242815115191,1.0,2,25,1,0,0,0
704,France,Male,23,6,166594.78,1,1,1,155823.2,1.0691269336016715,0.14285714285714285,1,138,1,0,0,0
825,France,Male,32,9,0.0,2,0,0,9751.03,0.0,0.2,0,288,0,1,0,0
490,Spain,Female,38,3,97266.1,1,1,1,92797.23,1.0481573641799438,0.25,1,114,1,0,0,1
601,Germany,Female,26,7,105514.69,2,1,0,50070.59,2.10731868747702,0.25,0,182,1,0,0,1
595,Spain,Male,23,7,0.0,2,1,1,168085.97,0.0,0.25,2,161,0,1,0,1
631,France,Male,26,1,149144.61,1,0,1,123697.95,1.2057161011965032,0.5,1,26,1,0,0,1
751,France,Male,42,4,0.0,2,1,1,81442.6,0.0,0.4,2,168,0,1,0,0
